seed,status,score,layout_count,platform_count,ramp_count,reachable_ramps,reachable_platforms,link_segments,link_connections,failed_link_connections,coverage_ratio,base_reachable_ratio,unique_layouts,elevation_span,decoration_count,blocking_ground_decorations,error_count,warning_count,generation_ms,analysis_ms,errors,warnings
11,INVALID,23.745,5,12,12,7,7,10,4,0,0.135498,0.609214,5,31.135,179,26,3,3,8.429,6.114,layout_count_below_minimum|unreachable_platforms:5|base_reachable_ratio_too_low:0.609,coverage_capped_by_available_surface|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:8
12,INVALID,29.868,8,12,16,9,7,8,7,2,0.169444,0.824222,3,26.604,200,28,2,4,15.858,7.561,unreachable_platforms:5|base_reachable_ratio_too_low:0.824,coverage_capped_by_available_surface|link_connections_without_blocks:2|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:10
13,INVALID,63.429,7,9,12,10,8,7,6,1,0.160558,0.999382,4,63.73,198,28,1,4,11.548,9.548,unreachable_platforms:1,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:10
14,INVALID,62.314,6,8,14,12,7,12,5,0,0.136052,0.991013,4,34.932,178,28,1,3,8.82,9.442,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:10
15,INVALID,65.692,6,9,10,9,8,9,5,0,0.146449,0.999796,4,70.115,183,26,1,3,9.649,9.686,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:10
16,INVALID,65.208,6,9,11,9,8,10,5,0,0.135985,0.999495,5,49.16,179,28,1,3,10.199,9.426,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:10
17,INVALID,27.656,7,14,15,6,6,10,6,0,0.162792,0.601581,5,69.06,189,28,2,3,15.911,5.917,unreachable_platforms:8|base_reachable_ratio_too_low:0.602,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:10
18,INVALID,63.699,7,10,13,10,9,12,6,0,0.148818,0.999894,5,34.883,188,28,1,3,13.39,9.279,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:12
19,INVALID,37.498,7,12,13,8,8,10,6,0,0.170384,0.826115,5,26.631,190,27,2,3,14.861,7.67,unreachable_platforms:4|base_reachable_ratio_too_low:0.826,coverage_capped_by_available_surface|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:12
20,INVALID,63.272,8,9,14,13,8,10,7,0,0.173626,0.998916,4,38.193,207,29,1,3,14.11,9.046,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:14
21,VALID,74.3,6,12,12,12,12,7,5,1,0.153168,0.999695,4,36.61,189,27,0,4,11.316,9.555,,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:8
22,VALID,73.428,6,11,11,11,11,7,5,1,0.13407,0.999901,4,34.264,178,28,0,4,8.981,9.594,,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:8
23,INVALID,46.587,7,11,13,7,6,10,6,0,0.171224,0.91988,4,38.452,204,27,1,3,13.983,8.401,unreachable_platforms:5,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:12
24,INVALID,33.203,5,7,11,7,5,8,4,0,0.105314,0.816881,4,56.091,165,29,3,3,8.869,8.201,layout_count_below_minimum|unreachable_platforms:2|base_reachable_ratio_too_low:0.817,coverage_capped_by_available_surface|link_platform_intersections:2|raised_links_without_explicit_vertical_transition:8
25,INVALID,0,4,7,8,0,0,7,3,0,0.115208,0.0,4,28.915,172,29,5,3,7.922,0.729,layout_count_below_minimum|arrival_blocked_by_link|arrival_has_no_free_navigation_cell|unreachable_platforms:7|base_reachable_ratio_too_low:0.000,coverage_capped_by_available_surface|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:6
26,INVALID,60.998,9,12,17,13,10,8,8,2,0.193916,0.997685,5,44.54,216,28,1,4,14.037,8.918,unreachable_platforms:2,coverage_capped_by_available_surface|link_connections_without_blocks:2|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:12
27,INVALID,54.629,5,12,12,10,10,11,4,0,0.143947,0.993779,5,32.881,189,28,2,3,9.59,9.294,layout_count_below_minimum|unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:9|raised_links_without_explicit_vertical_transition:6
28,INVALID,61.18,9,13,15,14,12,10,8,2,0.185081,1.0,4,38.19,211,26,1,4,19.195,9.385,unreachable_platforms:1,coverage_capped_by_available_surface|link_connections_without_blocks:2|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:12
29,INVALID,27.566,6,14,15,6,6,7,5,0,0.152093,0.528306,5,53.621,183,27,2,3,11.084,5.376,unreachable_platforms:8|base_reachable_ratio_too_low:0.528,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:9
30,INVALID,64.809,7,10,10,9,9,8,6,0,0.146567,0.999798,3,92.327,181,28,1,3,11.821,9.65,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:11
31,VALID,77.277,6,12,12,12,12,9,5,0,0.152966,1.0,4,59.802,186,26,0,3,12.635,9.597,,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:10
32,INVALID,65.93,7,11,12,10,10,10,6,0,0.160978,1.0,5,42.561,196,26,1,3,12.809,9.244,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:11
33,INVALID,0,5,10,11,0,0,9,4,0,0.130157,0.0,5,43.121,183,28,5,3,8.945,0.757,layout_count_below_minimum|arrival_blocked_by_link|arrival_has_no_free_navigation_cell|unreachable_platforms:10|base_reachable_ratio_too_low:0.000,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:8
34,INVALID,61.114,7,11,14,12,10,8,6,0,0.159164,0.919508,5,31.237,197,27,1,3,16.75,8.485,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:12
35,INVALID,62.685,7,11,11,10,10,10,6,0,0.166605,1.0,3,41.583,199,29,1,3,15.26,9.182,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:12
36,INVALID,61.863,7,10,12,10,8,10,6,0,0.154125,0.999689,5,53.288,194,28,1,3,12.735,9.431,unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:12
37,INVALID,28.014,7,13,16,8,7,8,6,1,0.161533,0.638298,6,27.296,196,27,2,4,14.722,6.312,unreachable_platforms:6|base_reachable_ratio_too_low:0.638,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:10
38,INVALID,67.289,5,9,10,9,9,11,4,0,0.126831,1.0,4,28.587,177,26,1,3,8.933,9.658,layout_count_below_minimum,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:6
39,INVALID,47.979,6,7,10,5,4,10,5,0,0.129653,0.887619,4,84.378,174,27,1,3,12.207,8.725,unreachable_platforms:3,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:10
40,INVALID,57.729,7,12,14,10,8,9,6,0,0.16118,0.999173,5,48.421,193,27,1,3,13.324,9.397,unreachable_platforms:4,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:12
41,INVALID,56.747,5,11,11,10,10,10,4,0,0.140621,1.0,4,30.3,184,29,2,3,8.6,9.335,layout_count_below_minimum|unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:7
42,INVALID,56.979,5,8,10,9,7,6,4,0,0.114637,1.0,4,34.412,166,27,2,3,9.782,10.18,layout_count_below_minimum|unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:2|raised_links_without_explicit_vertical_transition:8
43,VALID,73.667,7,9,11,11,9,9,6,0,0.158224,0.998132,4,28.24,195,27,0,3,12.859,9.589,,coverage_capped_by_available_surface|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:12
44,VALID,75.947,8,13,15,13,13,7,7,1,0.186459,0.999559,5,29.684,207,28,0,4,14.778,8.827,,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:2|raised_links_without_explicit_vertical_transition:11
45,VALID,73.183,7,10,12,11,10,7,6,1,0.149842,1.0,4,32.248,190,27,0,4,11.865,9.305,,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:10
46,INVALID,52.993,5,10,10,8,8,6,4,0,0.129737,0.999904,3,52.443,169,26,2,3,7.737,9.956,layout_count_below_minimum|unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:7
47,INVALID,49.642,5,8,8,6,6,9,4,0,0.111008,0.999803,3,49.898,163,28,2,3,8.932,10.405,layout_count_below_minimum|unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:8
48,INVALID,58.155,6,14,14,11,11,9,5,0,0.187046,0.948814,4,35.676,215,28,1,3,13.964,8.664,unreachable_platforms:3,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:9
49,VALID,73.318,9,12,14,14,12,14,8,0,0.189381,1.0,4,32.66,207,27,0,3,20.177,8.711,,coverage_capped_by_available_surface|link_platform_intersections:8|raised_links_without_explicit_vertical_transition:16
50,INVALID,53.32,5,11,11,9,9,8,4,0,0.123152,1.0,4,38.303,167,28,2,3,9.008,9.693,layout_count_below_minimum|unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:8
51,INVALID,53.051,5,10,10,8,8,9,4,0,0.108052,0.995789,4,37.336,160,27,2,3,7.922,9.691,layout_count_below_minimum|unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:8
52,INVALID,56.572,6,11,12,9,9,10,5,0,0.1466,0.919551,5,25.067,188,27,1,3,10.871,8.698,unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:10
53,VALID,79.07,6,11,12,12,11,11,5,0,0.140234,0.999191,5,131.206,174,28,0,3,10.454,9.472,,coverage_capped_by_available_surface|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:10
54,INVALID,60.692,6,8,9,7,7,9,5,0,0.141175,0.999898,3,19.43,186,27,1,3,9.731,9.451,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:10
55,INVALID,57.561,6,11,13,10,8,10,5,0,0.14524,1.0,4,36.214,183,27,1,3,10.359,9.332,unreachable_platforms:3,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:10
56,INVALID,53.955,5,9,12,9,7,8,4,0,0.124681,0.999801,4,34.319,165,27,2,3,9.793,9.796,layout_count_below_minimum|unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:2|raised_links_without_explicit_vertical_transition:8
57,INVALID,27.405,6,11,13,7,5,11,5,0,0.151001,0.630235,5,45.128,193,27,2,3,11.114,6.462,unreachable_platforms:6|base_reachable_ratio_too_low:0.630,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:10
58,INVALID,60.761,8,9,16,11,8,8,7,1,0.164724,1.0,4,18.686,198,26,1,4,12.208,9.52,unreachable_platforms:1,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:12
59,INVALID,59.606,7,15,15,12,12,12,6,0,0.181604,0.99807,4,40.595,205,28,1,3,12.655,8.791,unreachable_platforms:3,coverage_capped_by_available_surface|link_platform_intersections:8|raised_links_without_explicit_vertical_transition:7
60,INVALID,24.563,8,10,15,8,5,13,7,0,0.16768,0.561482,4,33.502,201,28,2,3,12.8,5.437,unreachable_platforms:5|base_reachable_ratio_too_low:0.561,coverage_capped_by_available_surface|link_platform_intersections:8|raised_links_without_explicit_vertical_transition:14
61,INVALID,63.278,6,11,11,9,9,12,5,0,0.154243,1.0,4,125.819,185,27,1,3,13.557,9.137,unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:7|raised_links_without_explicit_vertical_transition:10
62,INVALID,38.607,9,14,15,11,11,11,8,0,0.208916,0.782412,5,31.986,226,28,2,3,17.595,6.957,unreachable_platforms:3|base_reachable_ratio_too_low:0.782,coverage_capped_by_available_surface|link_platform_intersections:8|raised_links_without_explicit_vertical_transition:13
63,INVALID,63.015,7,13,16,14,11,10,6,0,0.166521,0.999894,5,35.914,196,27,1,3,10.205,9.16,unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:11
64,INVALID,44.805,6,8,11,7,6,8,5,0,0.152429,0.838139,4,83.14,185,27,2,3,11.048,8.324,unreachable_platforms:2|base_reachable_ratio_too_low:0.838,coverage_capped_by_available_surface|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:10
65,INVALID,59.268,8,10,12,10,9,10,7,1,0.160961,0.975836,3,50.904,191,28,1,4,14.767,9.069,unreachable_platforms:1,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:11
66,INVALID,25.105,8,15,18,7,6,10,7,1,0.201542,0.684378,7,28.621,211,26,2,4,14.525,6.079,unreachable_platforms:9|base_reachable_ratio_too_low:0.684,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:12
67,INVALID,62.608,7,11,11,10,10,11,6,1,0.156326,1.0,4,69.744,191,27,1,4,14.535,9.618,unreachable_platforms:1,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:7|raised_links_without_explicit_vertical_transition:9
68,INVALID,57.102,7,16,16,13,13,10,6,1,0.171325,0.974218,4,43.217,197,28,1,4,12.047,8.59,unreachable_platforms:3,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:8
69,INVALID,62.525,6,9,13,11,7,10,5,0,0.133012,1.0,5,62.438,181,27,1,3,11.146,10.078,unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:10
70,VALID,76.83,7,11,14,13,11,11,6,0,0.162658,0.998631,6,30.053,197,28,0,3,11.783,9.462,,coverage_capped_by_available_surface|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:12
71,INVALID,17.377,6,10,10,2,2,8,5,1,0.144652,0.425634,4,129.102,182,27,2,4,10.546,4.566,unreachable_platforms:8|base_reachable_ratio_too_low:0.426,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:8
72,INVALID,55.177,6,10,10,7,7,9,5,0,0.125571,0.996818,4,27.904,170,28,1,3,9.114,9.691,unreachable_platforms:3,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:10
73,INVALID,61.185,7,14,14,12,12,12,6,0,0.193664,0.993689,4,23.735,207,28,1,3,13.488,8.438,unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:7|raised_links_without_explicit_vertical_transition:12
74,INVALID,62.823,7,11,15,13,10,9,6,1,0.173844,0.999893,4,40.828,198,26,1,4,12.356,9.142,unreachable_platforms:1,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:10
75,INVALID,62.198,7,14,14,12,12,8,6,1,0.169192,0.999678,5,40.132,195,28,1,4,12.886,9.115,unreachable_platforms:2,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:10
76,INVALID,39.836,7,11,12,10,9,10,6,1,0.1509,0.999896,4,32.957,184,27,2,4,16.958,9.579,arrival_blocked_by_link|unreachable_platforms:2,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:10
77,INVALID,44.395,6,13,13,9,9,9,5,0,0.177472,0.856117,5,57.76,200,26,2,3,13.666,8.527,unreachable_platforms:4|base_reachable_ratio_too_low:0.856,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:10
78,INVALID,72.874,4,10,10,10,10,9,3,0,0.099352,0.999806,4,100.871,159,29,1,3,8.398,10.757,layout_count_below_minimum,coverage_capped_by_available_surface|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:6
79,INVALID,60.413,6,12,12,10,10,10,5,0,0.136825,0.999296,4,35.483,178,28,1,3,12.405,9.678,unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:8
80,INVALID,32.824,7,11,13,7,7,10,6,0,0.182377,0.539739,5,27.273,206,26,2,3,11.908,6.04,unreachable_platforms:4|base_reachable_ratio_too_low:0.540,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:12
81,INVALID,61.086,7,11,14,11,9,11,6,0,0.165916,1.0,5,27.126,199,27,1,3,18.547,11.703,unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:12
82,INVALID,56.014,5,12,12,10,10,8,4,0,0.158593,1.0,4,29.216,190,27,2,3,10.333,10.066,layout_count_below_minimum|unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:6
83,INVALID,25.107,7,14,15,7,7,9,6,1,0.161365,0.632073,4,42.408,186,27,2,4,12.195,6.952,unreachable_platforms:7|base_reachable_ratio_too_low:0.632,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:10
84,INVALID,42.446,6,9,11,8,7,12,5,0,0.132726,0.863177,4,22.986,180,27,2,3,9.995,9.536,unreachable_platforms:2|base_reachable_ratio_too_low:0.863,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:10
85,INVALID,70.896,5,13,14,13,13,8,4,0,0.145374,0.998382,5,46.083,184,28,1,3,9.837,9.496,layout_count_below_minimum,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:8
86,INVALID,34.745,8,13,16,11,10,13,7,0,0.188357,0.68654,4,32.463,212,27,2,3,12.647,7.19,unreachable_platforms:3|base_reachable_ratio_too_low:0.687,coverage_capped_by_available_surface|link_platform_intersections:8|raised_links_without_explicit_vertical_transition:14
87,INVALID,60.27,6,11,13,11,9,10,5,0,0.138488,1.0,4,22.057,184,27,1,3,10.108,10.003,unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:10
88,INVALID,67.497,7,11,12,11,10,12,6,0,0.168419,0.986559,5,91.477,194,28,1,3,15.061,9.171,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:12
89,INVALID,56.034,4,10,10,8,8,9,3,0,0.123875,0.9999,4,39.341,173,28,2,3,8.448,11.857,layout_count_below_minimum|unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:6
90,INVALID,58.376,7,10,12,10,8,9,6,0,0.147911,1.0,3,36.03,181,28,1,3,13.639,11.358,unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:12
91,INVALID,68.769,5,10,11,11,10,8,4,0,0.123119,1.0,4,57.87,173,28,1,3,11.091,9.877,layout_count_below_minimum,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:8
92,INVALID,64.769,7,13,13,12,12,10,6,0,0.164136,1.0,4,54.327,191,27,1,3,13.74,9.142,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:11
93,VALID,74.601,6,9,10,10,9,8,5,1,0.133801,1.0,4,41.751,179,28,0,4,12.314,10.373,,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:2|raised_links_without_explicit_vertical_transition:8
94,INVALID,56.224,5,12,13,11,10,9,4,0,0.128611,0.997633,5,51.703,173,28,2,3,11.354,9.631,layout_count_below_minimum|unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:8
95,INVALID,36.542,8,15,16,11,11,10,7,1,0.20087,0.817949,4,31.541,213,26,2,4,14.92,7.502,unreachable_platforms:4|base_reachable_ratio_too_low:0.818,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:7|raised_links_without_explicit_vertical_transition:12
96,INVALID,0,7,11,14,0,0,9,6,0,0.172601,0.0,4,53.848,196,28,4,3,20.381,0.806,arrival_blocked_by_link|arrival_has_no_free_navigation_cell|unreachable_platforms:11|base_reachable_ratio_too_low:0.000,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:12
97,INVALID,61.01,8,12,15,12,10,12,7,2,0.190523,0.999886,6,35.506,212,28,1,4,17.507,8.804,unreachable_platforms:2,coverage_capped_by_available_surface|link_connections_without_blocks:2|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:10
98,INVALID,61.774,7,12,14,11,10,10,6,0,0.171543,0.988152,5,30.77,205,28,1,3,16.511,9.448,unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:12
99,INVALID,64.363,8,12,14,13,11,12,7,0,0.179337,1.0,4,45.104,204,26,1,3,16.682,9.449,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:14
100,INVALID,58.905,8,14,15,11,11,11,7,0,0.19185,0.962746,5,38.206,208,28,1,3,18.626,8.712,unreachable_platforms:3,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:14
