rank,build_id,meta_score,profile_origin,signature,comments
11,B00120_experienced,47.077,experienced,character:default_character|weapon:fireball@1|item:camembert[Common]x2|item:corrupted_vial[Common]x2|item:energy_drink[Common]x1|item:midas_hand[Common]x1|item:red_access_card[Rare]x1|item:sneakers[Common]x1|perk:armor[Rare]x1|perk:attack_speed[Epic]x2|perk:crit_chance[Epic]x1|perk:crit_chance[Legendary]x1|perk:elite_flat_damage[Common]x3|perk:elite_flat_damage[Rare]x1|perk:enemy_bounce[Common]x3|perk:enemy_bounce[Legendary]x1|perk:enemy_bounce[Rare]x1|perk:flat_damage[Common]x2|perk:flat_damage[Epic]x1|perk:more_enemies[Legendary]x1|perk:projectile_count[Common]x1|perk:projectile_count[Epic]x1|perk:projectile_count[Rare]x1|perk:projectile_speed[Rare]x1|perk:shield[Common]x1|perk:shield[Rare]x2|perk:xp_gain[Rare]x1,"Piliers estimés : perk:enemy_bounce (+325.3), perk:projectile_count (+321.9), perk:flat_damage (+32.4) | Synergie observée : perk:enemy_bounce + perk:projectile_count (+981.4)."
12,B00049_beginner,43.465,beginner,character:default_character|weapon:fireball@1|item:blue_access_card[Rare]x1|item:energy_drink[Common]x1|item:golden_sneakers[Common]x1|item:midas_hand[Common]x1|perk:collect_radius[Common]x1|perk:collect_radius[Rare]x1|perk:elite_flat_damage[Common]x1|perk:elite_flat_damage[Epic]x1|perk:flat_damage[Common]x1|perk:gold_gain[Rare]x1|perk:health_regen[Common]x1|perk:health_regen[Legendary]x1|perk:health_regen[Rare]x1|perk:jump_bonus[Common]x2|perk:life_steal[Common]x1|perk:projectile_speed[Epic]x1|perk:projectile_speed[Rare]x1|perk:shield[Common]x1|perk:xp_gain[Rare]x1,"Piliers estimés : perk:flat_damage (+32.4), perk:life_steal (+25.0), perk:elite_flat_damage (+10.6) | Synergie observée : perk:flat_damage + perk:life_steal (+9.8)."
13,B00099_experienced,39.8,experienced,character:default_character|weapon:fireball@1|item:blood_infusion[Common]x2|item:corrupted_vial[Common]x2|item:energy_drink[Common]x1|item:midas_hand[Common]x1|item:three_leaf_clover[Common]x1|item:vampire_tooth[Rare]x1|perk:attack_speed[Epic]x1|perk:attack_speed[Rare]x1|perk:crit_multiplier[Common]x1|perk:crit_multiplier[Epic]x1|perk:damage_percent[Common]x1|perk:damage_percent[Rare]x1|perk:elite_flat_damage[Epic]x1|perk:elite_flat_damage[Rare]x1|perk:enemy_bounce[Common]x4|perk:enemy_bounce[Rare]x1|perk:flat_damage[Common]x2|perk:gold_gain[Rare]x1|perk:life_steal[Common]x1|perk:projectile_count[Common]x2|perk:projectile_count[Epic]x1|perk:shield[Common]x1|perk:shield[Epic]x1|perk:shield[Rare]x1|perk:xp_gain[Common]x1|perk:xp_gain[Epic]x1|perk:xp_gain[Rare]x1,"Piliers estimés : perk:enemy_bounce (+325.3), perk:projectile_count (+321.9), perk:damage_percent (+33.0) | Synergie observée : perk:enemy_bounce + perk:projectile_count (+981.4)."
14,B00037_beginner,38.434,beginner,character:default_character|weapon:fireball@1|item:blood_infusion[Common]x1|item:sneakers[Common]x1|item:three_leaf_clover[Common]x1|item:vampire_tooth[Rare]x1|perk:crit_multiplier[Common]x1|perk:crit_multiplier[Epic]x1|perk:crit_multiplier[Rare]x1|perk:damage_percent[Common]x1|perk:damage_percent[Rare]x1|perk:enemy_bounce[Epic]x1|perk:gold_gain[Rare]x1|perk:health_regen[Common]x1|perk:health_regen[Legendary]x1|perk:health_regen[Rare]x1|perk:life_steal[Common]x1|perk:luck[Legendary]x2|perk:more_enemies[Common]x1|perk:move_speed[Common]x1|perk:projectile_count[Common]x1,"Piliers estimés : perk:enemy_bounce (+325.3), perk:projectile_count (+321.9), perk:damage_percent (+33.0) | Synergie observée : perk:enemy_bounce + perk:projectile_count (+981.4)."
15,B00006_experienced,36.653,experienced,character:default_character|weapon:fireball@1|item:blood_infusion[Common]x1|item:camembert[Common]x1|item:canned_food[Common]x1|item:corrupted_vial[Common]x1|item:energy_drink[Common]x1|item:golden_sneakers[Common]x1|item:midas_hand[Common]x1|item:three_leaf_clover[Common]x1|perk:armor[Common]x1|perk:attack_speed[Rare]x2|perk:collect_radius[Rare]x1|perk:crit_multiplier[Common]x1|perk:damage_percent[Common]x3|perk:damage_percent[Legendary]x2|perk:damage_percent[Rare]x3|perk:elite_flat_damage[Rare]x1|perk:enemy_bounce[Legendary]x1|perk:enemy_bounce[Rare]x1|perk:flat_damage[Common]x1|perk:flat_damage[Epic]x1|perk:flat_damage[Legendary]x1|perk:health_regen[Common]x1|perk:more_enemies[Common]x1|perk:more_enemies[Legendary]x1|perk:move_speed[Epic]x1|perk:projectile_count[Common]x1|perk:shield[Common]x1|perk:xp_gain[Rare]x1,"Piliers estimés : perk:enemy_bounce (+325.3), perk:projectile_count (+321.9), perk:damage_percent (+33.0) | Synergie observée : perk:enemy_bounce + perk:projectile_count (+981.4)."
16,B00054_experienced,36.644,experienced,character:default_character|weapon:fireball@1|item:camembert[Common]x1|item:corrupted_vial[Common]x2|item:energy_drink[Common]x1|item:midas_hand[Common]x1|item:sneakers[Common]x1|item:three_leaf_clover[Common]x2|perk:attack_speed[Rare]x2|perk:collect_radius[Common]x1|perk:crit_multiplier[Common]x1|perk:crit_multiplier[Legendary]x1|perk:elite_flat_damage[Common]x3|perk:elite_flat_damage[Legendary]x1|perk:elite_flat_damage[Rare]x1|perk:enemy_bounce[Common]x2|perk:enemy_bounce[Rare]x3|perk:flat_damage[Common]x2|perk:flat_damage[Rare]x1|perk:gold_gain[Rare]x1|perk:health_regen[Common]x1|perk:life_steal[Common]x1|perk:life_steal[Epic]x1|perk:projectile_count[Common]x2|perk:shield[Common]x1|perk:shield[Epic]x1,"Piliers estimés : perk:enemy_bounce (+325.3), perk:projectile_count (+321.9), perk:flat_damage (+32.4) | Synergie observée : perk:enemy_bounce + perk:projectile_count (+981.4)."
17,B00087_experienced,34.973,experienced,character:default_character|weapon:fireball@1|item:blood_infusion[Common]x2|item:camembert[Common]x1|item:canned_food[Common]x1|item:golden_sneakers[Common]x1|item:red_access_card[Rare]x1|item:syringe[Common]x2|perk:armor[Common]x1|perk:attack_speed[Common]x1|perk:attack_speed[Rare]x1|perk:crit_multiplier[Epic]x1|perk:crit_multiplier[Rare]x1|perk:damage_percent[Legendary]x1|perk:damage_percent[Rare]x3|perk:elite_flat_damage[Rare]x1|perk:enemy_bounce[Legendary]x1|perk:enemy_bounce[Rare]x1|perk:flat_damage[Common]x1|perk:flat_damage[Rare]x1|perk:gold_gain[Common]x1|perk:health_regen[Common]x1|perk:health_regen[Rare]x1|perk:luck[Epic]x1|perk:luck[Rare]x1|perk:projectile_count[Common]x3|perk:projectile_count[Rare]x2|perk:projectile_speed[Epic]x1|perk:shield[Rare]x1,"Piliers estimés : perk:enemy_bounce (+325.3), perk:projectile_count (+321.9), perk:damage_percent (+33.0) | Synergie observée : perk:enemy_bounce + perk:projectile_count (+981.4)."
18,B00033_experienced,33.71,experienced,character:default_character|weapon:fireball@1|item:corrupted_vial[Common]x1|item:energy_drink[Common]x1|item:golden_sneakers[Common]x1|item:midas_hand[Common]x1|item:red_access_card[Rare]x1|item:sneakers[Common]x2|item:syringe[Common]x1|perk:attack_speed[Rare]x1|perk:crit_multiplier[Rare]x1|perk:damage_percent[Common]x1|perk:damage_percent[Rare]x1|perk:elite_flat_damage[Common]x1|perk:elite_flat_damage[Rare]x2|perk:enemy_bounce[Common]x1|perk:enemy_bounce[Epic]x1|perk:flat_damage[Common]x1|perk:flat_damage[Legendary]x1|perk:gold_gain[Epic]x1|perk:health_regen[Rare]x1|perk:life_steal[Common]x2|perk:life_steal[Rare]x1|perk:luck[Epic]x1|perk:projectile_count[Common]x2|perk:projectile_count[Rare]x1|perk:projectile_speed[Rare]x1|perk:shield[Common]x1|perk:shield[Rare]x3|perk:xp_gain[Common]x1,"Piliers estimés : perk:enemy_bounce (+325.3), perk:projectile_count (+321.9), perk:damage_percent (+33.0) | Synergie observée : perk:enemy_bounce + perk:projectile_count (+981.4)."
19,B00056_medium,27.918,medium,character:default_character|weapon:fireball@1|item:blue_access_card[Rare]x1|item:camembert[Common]x2|item:canned_food[Common]x2|item:energy_drink[Common]x1|perk:armor[Common]x1|perk:armor[Rare]x2|perk:attack_speed[Common]x1|perk:crit_chance[Common]x1|perk:damage_percent[Common]x1|perk:effect_duration[Common]x1|perk:elite_flat_damage[Common]x1|perk:enemy_bounce[Rare]x1|perk:flat_damage[Rare]x1|perk:health_regen[Common]x1|perk:jump_bonus[Rare]x1|perk:life_steal[Common]x1|perk:luck[Common]x1|perk:more_enemies[Rare]x1|perk:move_speed[Epic]x1|perk:projectile_count[Rare]x1|perk:shield[Common]x1|perk:shield[Epic]x1|perk:xp_gain[Common]x1|perk:xp_gain[Rare]x1,"Piliers estimés : perk:enemy_bounce (+325.3), perk:projectile_count (+321.9), perk:damage_percent (+33.0) | Synergie observée : perk:enemy_bounce + perk:projectile_count (+981.4)."
20,B00079_beginner,25.481,beginner,character:default_character|weapon:fireball@1|item:camembert[Common]x1|item:canned_food[Common]x1|item:golden_sneakers[Common]x1|item:syringe[Common]x1|perk:damage_percent[Common]x1|perk:damage_percent[Rare]x1|perk:elite_flat_damage[Common]x1|perk:gold_gain[Common]x1|perk:gold_gain[Legendary]x1|perk:health_regen[Common]x2|perk:life_steal[Rare]x1|perk:luck[Common]x2|perk:projectile_count[Common]x2|perk:projectile_speed[Common]x1|perk:projectile_speed[Rare]x1|perk:shield[Common]x2,"Piliers estimés : perk:projectile_count (+321.9), perk:damage_percent (+33.0), perk:life_steal (+25.0) | Synergie observée : perk:damage_percent + perk:projectile_count (+139.3)."
21,B00002_medium,23.954,medium,character:default_character|weapon:fireball@1|item:blood_infusion[Common]x2|item:camembert[Common]x1|item:energy_drink[Common]x1|item:sneakers[Common]x1|item:three_leaf_clover[Common]x1|perk:armor[Rare]x1|perk:attack_speed[Common]x1|perk:crit_multiplier[Rare]x1|perk:effect_duration[Epic]x1|perk:enemy_bounce[Common]x4|perk:enemy_bounce[Epic]x1|perk:flat_damage[Common]x1|perk:gold_gain[Epic]x1|perk:gold_gain[Rare]x1|perk:jump_bonus[Common]x2|perk:move_speed[Common]x1|perk:projectile_count[Common]x1|perk:projectile_count[Rare]x1|perk:shield[Common]x1|perk:shield[Rare]x1|perk:xp_gain[Common]x1|perk:xp_gain[Rare]x1,"Build faible ou trop situationnel dans le modèle actuel. | Piliers estimés : perk:enemy_bounce (+325.3), perk:projectile_count (+321.9), perk:flat_damage (+32.4) | Synergie observée : perk:enemy_bounce + perk:projectile_count (+981.4)."
22,B00022_beginner,23.683,beginner,character:default_character|weapon:fireball@1|item:camembert[Common]x1|item:midas_hand[Common]x1|item:red_access_card[Rare]x1|item:three_leaf_clover[Common]x1|perk:armor[Common]x1|perk:armor[Epic]x1|perk:collect_radius[Common]x1|perk:crit_chance[Rare]x1|perk:crit_multiplier[Rare]x1|perk:damage_percent[Common]x1|perk:elite_flat_damage[Common]x2|perk:elite_flat_damage[Epic]x1|perk:more_enemies[Legendary]x1|perk:move_speed[Common]x3|perk:move_speed[Rare]x1|perk:projectile_count[Common]x2,"Build faible ou trop situationnel dans le modèle actuel. | Piliers estimés : perk:projectile_count (+321.9), perk:damage_percent (+33.0), perk:crit_multiplier (+17.6) | Synergie observée : perk:damage_percent + perk:projectile_count (+139.3)."
