a,b,presence,observed,expected_additive,synergy
item:corrupted_vial,perk:projectile_speed,23,546.5232141834863,542.6953298054201,0.6005640402519307
item:energy_drink,perk:attack_speed,31,716.5135292831051,713.6081846632156,0.478013018746267
item:blood_infusion,item:syringe,19,956.5316301525583,952.2555266832186,0.4527830263343919
item:energy_drink,item:syringe,19,532.5419832104609,529.6777272844249,0.4408672690660303
item:blood_infusion,perk:projectile_speed,25,679.7621407980808,676.8379467623471,0.39848139386609976
item:blood_infusion,item:energy_drink,17,470.43781297856094,468.4820942772594,0.3900975284389068
perk:crit_chance,perk:projectile_speed,23,604.6987544007359,601.436851055069,0.37984926066232755
item:syringe,perk:projectile_speed,24,696.4258419244989,693.81074734634,0.32443143781848843
item:canned_food,perk:armor,27,775.8538652587622,775.2306160854135,0.21980075631342147
item:blood_infusion,perk:crit_chance,26,795.0027144520185,794.7277144520185,0.18959344007618242
perk:armor,perk:shield,53,989.0111010534065,988.2677276543767,0.10893211788584233
perk:collect_radius,perk:xp_gain,47,886.2188505697864,885.8713930197863,0.05854190976457535
perk:collect_radius,perk:gold_gain,37,480.01739933508543,479.8843719350854,0.052262974605112346
item:midas_hand,perk:collect_radius,38,687.4487875448727,687.4014765448728,0.010081777325800899
item:corrupted_vial,perk:crit_chance,30,948.1313763917341,948.1313763917341,0.004620228045169795
item:canned_food,perk:projectile_count,43,1070.849994003446,1070.8499940034458,2.2576021215753253e-14
item:canned_food,perk:enemy_bounce,37,1070.849994003446,1070.8499940034458,1.8425160254026692e-14
perk:projectile_count,perk:shield,80,1411.0614417768631,1411.0614417768631,1.3583664936909795e-14
item:canned_food,item:corrupted_vial,17,835.0471351851834,835.0471351851833,1.1195989903395543e-14
perk:enemy_bounce,perk:health_regen,63,1178.8154562998725,1178.8154562998725,1.0973014860914037e-14
perk:crit_chance,perk:xp_gain,41,978.1969832532221,978.1969832532221,1.0199594346188054e-14
perk:life_steal,perk:xp_gain,24,480.0514024085625,480.0514024085625,1.000551322006128e-14
item:midas_hand,perk:xp_gain,32,786.0043585489916,786.0043585489915,9.528593476190689e-15
perk:elite_flat_damage,perk:xp_gain,54,1269.9362235869123,1269.936223586912,9.513318396039798e-15
item:canned_food,perk:elite_flat_damage,36,944.9499674481963,944.9499674481963,7.868457140246856e-15
item:syringe,perk:xp_gain,34,957.1157279943109,957.1157279943109,7.24390514723385e-15
item:canned_food,perk:flat_damage,41,1062.6555180641774,1062.6555180641772,7.143682800435411e-15
perk:armor,perk:life_steal,22,430.5921474922185,430.5921474922185,7.0624143566362185e-15
item:corrupted_vial,item:golden_sneakers,23,648.1164420474958,648.1164420474956,7.035427879681718e-15
item:midas_hand,perk:crit_chance,27,640.0525010043497,640.0525010043497,6.9202284478962605e-15
perk:damage_percent,perk:shield,68,1253.407719874027,1253.4077198740267,6.811245831878233e-15
item:canned_food,perk:xp_gain,30,734.2756992173872,734.2756992173871,6.807148889577631e-15
perk:armor,perk:enemy_bounce,49,1130.9955149872274,1130.9955149872274,6.7861190637044554e-15
perk:armor,perk:projectile_count,57,1130.9955149872274,1130.9955149872274,6.780861718925865e-15
item:golden_sneakers,perk:crit_chance,23,500.6231486726992,500.6231486726992,6.5801743616877164e-15
perk:move_speed,perk:shield,41,769.5853893394623,769.5853893394623,6.26742660014714e-15
item:midas_hand,perk:life_steal,20,611.5405844686296,611.5405844686295,6.045811898543415e-15
perk:enemy_bounce,perk:shield,73,1411.0614417768631,1411.0614417768631,5.978443887695444e-15
item:canned_food,perk:crit_chance,21,807.8770625557117,807.8770625557117,5.926058962082169e-15
item:blood_infusion,perk:armor,32,797.6255073516445,797.6255073516445,5.855524253412233e-15
item:canned_food,perk:shield,38,906.9737163798217,906.9737163798214,5.736001014093502e-15
item:canned_food,item:golden_sneakers,21,560.7853387909229,560.7853387909229,5.679326893595871e-15
item:golden_sneakers,perk:crit_multiplier,32,832.4532904213435,832.4532904213435,5.638349672766185e-15
item:canned_food,perk:health_regen,33,857.8085350934842,857.808535093484,5.627736290618877e-15
item:canned_food,perk:crit_multiplier,28,918.7750747968836,918.7750747968835,5.624927626128296e-15
item:golden_sneakers,perk:health_regen,35,750.0674761493468,750.0674761493466,5.6207588885170705e-15
item:golden_sneakers,perk:life_steal,17,334.0099122628767,334.0099122628767,5.538263749149328e-15
item:corrupted_vial,item:midas_hand,22,778.6752272445475,778.6752272445475,5.483128991050655e-15
item:blood_infusion,item:corrupted_vial,22,853.620083025886,853.620083025886,5.404233714274632e-15
item:canned_food,item:energy_drink,15,593.6401445843933,593.6401445843933,5.340047244348145e-15
perk:shield,perk:xp_gain,59,1176.8633851632032,1176.8633851632032,5.2649551344241666e-15
item:corrupted_vial,perk:xp_gain,34,1159.774480561258,1159.7744805612579,5.2472431065446834e-15
item:blood_infusion,perk:xp_gain,33,860.0911284354053,860.0911284354053,5.238839278725941e-15
item:energy_drink,item:golden_sneakers,17,569.0118903472304,569.0118903472304,5.235475143838387e-15
item:syringe,perk:shield,41,1115.4517864533002,1115.4517864533002,5.222394840909187e-15
item:midas_hand,perk:jump_bonus,13,434.4547024438108,434.4547024438108,5.179239602941875e-15
perk:collect_radius,perk:move_speed,36,613.7619716092812,613.7619716092812,5.077095015854657e-15
item:canned_food,perk:life_steal,14,573.4141998002042,573.4141998002042,5.061576631388682e-15
item:blood_infusion,item:midas_hand,25,670.3182301782568,670.3182301782567,5.015563729801607e-15
item:syringe,perk:collect_radius,36,955.3946332685324,955.3946332685324,4.962563102755264e-15
item:midas_hand,perk:projectile_speed,27,504.2990366491014,504.2990366491014,4.957017596541716e-15
item:syringe,perk:health_regen,38,1012.7562475854644,1012.7562475854643,4.846351610918849e-15
perk:jump_bonus,perk:xp_gain,25,279.43877959737193,279.43877959737193,4.7984992534963754e-15
perk:crit_chance,perk:move_speed,32,553.1370821819528,553.1370821819528,4.77133216690738e-15
perk:projectile_count,perk:xp_gain,59,1302.4713938665034,1302.4713938665034,4.6771698835181605e-15
item:canned_food,perk:move_speed,20,544.9287930554327,544.9287930554326,4.674856547320118e-15
item:golden_sneakers,perk:projectile_speed,23,434.83931979216766,434.83931979216766,4.6343780638844195e-15
perk:life_steal,perk:move_speed,16,415.18806313375495,415.188063133755,4.610675750504799e-15
item:energy_drink,perk:shield,36,814.2068698711727,814.2068698711727,4.534604016726464e-15
perk:elite_flat_damage,perk:life_steal,33,631.3872537532089,631.3872537532089,4.487170801431353e-15
item:golden_sneakers,perk:attack_speed,29,779.0759824208463,779.0759824208463,4.486062012595384e-15
item:blood_infusion,perk:jump_bonus,14,366.16013908254223,366.1601390825423,4.472458427015508e-15
perk:jump_bonus,perk:projectile_speed,17,311.46010670992024,311.46010670992024,4.435971096275395e-15
item:blood_infusion,perk:collect_radius,36,825.3099633961069,825.3099633961069,4.425868773846435e-15
perk:crit_multiplier,perk:xp_gain,46,1218.524445721888,1218.524445721888,4.400323560700993e-15
item:golden_sneakers,perk:elite_flat_damage,35,815.0809757357888,815.0809757357887,4.380177460538941e-15
item:corrupted_vial,perk:shield,43,1133.8024043147948,1133.8024043147948,4.1601321964908245e-15
item:energy_drink,perk:armor,23,424.0594362395649,424.0594362395649,4.138860811078285e-15
item:blood_infusion,perk:health_regen,35,776.6726873160059,776.6726873160059,4.125965169548758e-15
perk:health_regen,perk:projectile_count,62,1178.8154562998725,1178.8154562998725,4.063137263999458e-15
perk:jump_bonus,perk:move_speed,20,210.85537915106823,210.85537915106823,4.052559689586333e-15
item:canned_food,item:midas_hand,23,708.8287496763622,708.8287496763622,3.990602523431875e-15
item:blood_infusion,item:canned_food,19,974.3809064766104,974.3809064766104,3.935781299146729e-15
perk:health_regen,perk:shield,60,1040.470610747773,1040.4706107477728,3.921925976479419e-15
perk:health_regen,perk:jump_bonus,25,262.9293784223484,262.92937842234846,3.8284445794811326e-15
perk:elite_flat_damage,perk:move_speed,39,740.787212149023,740.787212149023,3.811594250307182e-15
item:blood_infusion,item:golden_sneakers,19,575.9509073809783,575.9509073809783,3.8091912916385584e-15
item:sneakers,item:syringe,21,576.3005782618061,576.3005782618061,3.793435368593236e-15
item:golden_sneakers,perk:xp_gain,28,636.6118224583404,636.6118224583403,3.559620643849948e-15
item:sneakers,perk:projectile_speed,19,457.7885831964665,457.7885831964665,3.460657954319076e-15
perk:armor,perk:xp_gain,43,950.3318386307034,950.3318386307033,3.408242729187071e-15
item:golden_sneakers,perk:collect_radius,32,658.7259244959001,658.7259244959001,3.361966864611082e-15
item:golden_sneakers,perk:flat_damage,39,852.1333868855094,852.1333868855094,3.3182266119996343e-15
item:midas_hand,perk:crit_multiplier,34,872.353958125614,872.353958125614,3.313979050126781e-15
item:blood_infusion,perk:shield,45,1037.3969979904157,1037.3969979904155,3.2674532251130517e-15
item:blood_infusion,perk:move_speed,24,473.70864822006274,473.70864822006274,3.232619245435286e-15
perk:projectile_speed,perk:xp_gain,35,597.0989670714106,597.0989670714106,3.212736666035053e-15
perk:armor,perk:jump_bonus,19,226.41352782343648,226.41352782343648,3.0934412762316046e-15
perk:jump_bonus,perk:shield,31,374.8472777547062,374.8472777547062,3.081759896897325e-15
item:canned_food,perk:damage_percent,39,967.9579478799351,967.957947879935,3.07182041127148e-15
item:syringe,perk:armor,28,813.9836425555586,813.9836425555586,2.8872235315028358e-15
item:midas_hand,perk:move_speed,21,535.0393893749444,535.0393893749446,2.886002209995204e-15
item:corrupted_vial,perk:jump_bonus,14,231.7353033606633,231.7353033606633,2.8771346887242654e-15
perk:gold_gain,perk:projectile_speed,28,444.72118268272703,444.72118268272703,2.768518891318028e-15
item:sneakers,perk:flat_damage,39,827.5954028934575,827.5954028934575,2.7508322631346455e-15
item:golden_sneakers,item:sneakers,23,518.4380815776573,518.4380815776573,2.7495680052224527e-15
perk:armor,perk:gold_gain,31,402.45258773127193,402.4525877312719,2.746467478995081e-15
item:midas_hand,item:syringe,20,625.6554931572357,625.6554931572357,2.628295631339953e-15
perk:flat_damage,perk:shield,77,1392.9770093181044,1392.9770093181044,2.608313997818194e-15
perk:collect_radius,perk:jump_bonus,24,333.36030454993175,333.36030454993175,2.5892179234622773e-15
perk:collect_radius,perk:crit_multiplier,46,1005.5357616709516,1005.5357616709516,2.5868000515971753e-15
perk:move_speed,perk:xp_gain,35,724.3937071968085,724.3937071968085,2.5862761901411664e-15
item:golden_sneakers,perk:move_speed,19,547.9511630620553,547.9511630620553,2.495578425477069e-15
perk:collect_radius,perk:projectile_speed,34,708.3807837701283,708.3807837701283,2.4656571797512126e-15
perk:life_steal,perk:shield,37,679.3979606800234,679.3979606800234,2.3802234380918204e-15
item:midas_hand,perk:elite_flat_damage,46,979.5732375942054,979.5732375942054,2.36501234887392e-15
perk:armor,perk:move_speed,35,543.9008059838206,543.9008059838206,2.283917627879388e-15
item:canned_food,item:syringe,20,835.8472082708416,835.8472082708416,2.0970623428589705e-15
item:midas_hand,perk:shield,44,992.098689770197,992.098689770197,2.0266217644441606e-15
item:energy_drink,perk:xp_gain,31,682.3673169146554,682.3673169146554,2.0175333826004366e-15
item:golden_sneakers,perk:projectile_count,38,869.7974218091462,869.7974218091462,1.9730633349033377e-15
item:syringe,perk:damage_percent,39,1208.4314412026313,1208.4314412026313,1.9431369982921126e-15
item:golden_sneakers,perk:armor,23,538.8438587496087,538.8438587496087,1.9246976570344647e-15
item:sneakers,perk:shield,41,822.3144744850584,822.3144744850584,1.8691276034275408e-15
perk:flat_damage,perk:health_regen,60,1136.2280622574688,1136.2280622574688,1.832036651556777e-15
perk:elite_flat_damage,perk:jump_bonus,28,360.2494596669705,360.2494596669705,1.8296537204947568e-15
item:sneakers,perk:armor,30,545.3327267536814,545.3327267536814,1.7623367620895813e-15
perk:crit_chance,perk:health_regen,44,855.453300053293,855.453300053293,1.7499527960331357e-15
perk:flat_damage,perk:jump_bonus,23,292.837109184754,292.837109184754,1.7047458673746036e-15
item:corrupted_vial,perk:move_speed,22,700.298264013755,700.298264013755,1.7021896301870756e-15
perk:gold_gain,perk:shield,45,781.8655505391357,781.8655505391357,1.6548438543763516e-15
perk:health_regen,perk:life_steal,31,408.7193393798734,408.7193393798734,1.6536784295024944e-15
perk:flat_damage,perk:xp_gain,54,1249.8603274141412,1249.8603274141412,1.6164009921178482e-15
item:canned_food,perk:collect_radius,32,772.43674949941,772.4367494994099,1.5875880578791662e-15
item:corrupted_vial,perk:collect_radius,34,856.9206311393277,856.9206311393277,1.5521641811684054e-15
perk:move_speed,perk:projectile_count,41,812.3928945314298,812.3928945314298,1.53921215604411e-15
perk:crit_multiplier,perk:health_regen,48,1033.9709781553254,1033.9709781553254,1.535558262500415e-15
perk:crit_multiplier,perk:shield,59,1266.033525592405,1266.033525592405,1.5354026163306768e-15
perk:armor,perk:crit_multiplier,41,997.1807881643344,997.1807881643344,1.5071856100271358e-15
perk:crit_chance,perk:shield,48,1021.9021599084934,1021.9021599084934,1.4866128539770186e-15
perk:gold_gain,perk:xp_gain,32,460.9547944215999,460.9547944215999,1.4465063672548094e-15
item:golden_sneakers,perk:shield,43,864.8462788022566,864.8462788022566,1.436283901935538e-15
perk:flat_damage,perk:move_speed,37,788.791093191294,788.791093191294,1.3573026879134052e-15
perk:armor,perk:elite_flat_damage,52,1116.838822164467,1116.838822164467,1.3554712182450652e-15
item:sneakers,perk:xp_gain,31,672.9392723819599,672.9392723819599,1.3364672767457822e-15
item:corrupted_vial,perk:gold_gain,26,521.3953124440131,521.3953124440133,1.3263824043510969e-15
perk:health_regen,perk:xp_gain,49,903.5534062566285,903.5534062566284,1.3010818706117637e-15
item:canned_food,perk:jump_bonus,13,336.9160493422062,336.9160493422062,1.284503462616824e-15
item:syringe,perk:jump_bonus,18,265.31377097797997,265.31377097797997,1.2811830464861574e-15
perk:health_regen,perk:projectile_speed,35,698.794514586582,698.794514586582,1.2541006774510769e-15
item:syringe,perk:move_speed,22,530.9697544580847,530.9697544580847,1.216536559008541e-15
item:midas_hand,perk:armor,32,658.9839048669886,658.9839048669886,1.1743152987207117e-15
item:syringe,perk:gold_gain,20,642.2514360037146,642.2514360037146,1.1627010103714637e-15
item:midas_hand,perk:projectile_count,46,1010.6713673659125,1010.6713673659125,1.1341890269300428e-15
perk:jump_bonus,perk:life_steal,14,190.87393071283034,190.87393071283034,8.627646211854498e-16
item:energy_drink,item:midas_hand,23,623.7500983504106,623.7500983504104,8.229823030042959e-16
perk:collect_radius,perk:life_steal,29,447.4140525311738,447.4140525311738,7.587085471919463e-16
perk:elite_flat_damage,perk:shield,75,1336.296502140858,1336.296502140858,6.256770505016127e-16
item:corrupted_vial,item:sneakers,20,764.8908532560836,764.8908532560836,6.025444471393519e-16
item:canned_food,item:sneakers,15,534.2751366872145,534.2751366872145,5.611630611386334e-16
item:midas_hand,perk:health_regen,34,677.1279239587818,677.1279239587817,5.241178048828542e-16
perk:collect_radius,perk:crit_chance,44,817.8918533883922,817.8918533883922,5.193911153360823e-16
item:corrupted_vial,perk:health_regen,30,859.0076222989782,859.0076222989782,3.9787902031759747e-16
item:sneakers,perk:move_speed,26,571.4367992632298,571.4367992632298,2.798570677567949e-16
perk:elite_flat_damage,perk:gold_gain,39,617.4555190429706,617.4555190429706,2.5765769131571586e-16
item:golden_sneakers,perk:enemy_bounce,36,870.7781692682221,870.7781692682221,2.3855609794659766e-16
item:sneakers,perk:elite_flat_damage,35,785.7405956788203,785.7405956788203,1.9649582891009318e-16
item:canned_food,perk:attack_speed,27,897.8168341351625,897.8168341351624,1.4544279970797756e-16
item:sneakers,perk:life_steal,19,510.13807160982907,510.13807160982907,1.0865129178626903e-16
perk:collect_radius,perk:shield,61,1039.9989465638494,1039.9989465638494,9.980802588545846e-17
perk:gold_gain,perk:life_steal,23,365.9469918250155,365.94699182501546,9.871423129007869e-17
perk:armor,perk:flat_damage,50,1118.6410240486405,1118.6410240486405,7.573007407547757e-17
item:blood_infusion,item:blue_access_card,11,907.6970148068962,907.6970148068963,0.0
item:blood_infusion,item:camembert,23,908.6418954172048,908.6418954172048,0.0
item:blood_infusion,item:red_access_card,6,1010.5652949952087,1010.5652949952087,0.0
item:blood_infusion,item:three_leaf_clover,24,568.6110028649213,568.6110028649213,0.0
item:blood_infusion,item:vampire_tooth,11,758.607012430526,758.607012430526,0.0
item:blood_infusion,perk:effect_duration,26,518.3067311451053,518.3067311451053,0.0
item:blood_infusion,perk:luck,26,437.8985554918607,437.8985554918607,0.0
item:blood_infusion,perk:more_enemies,17,350.5914293186007,350.5914293186007,0.0
item:blue_access_card,item:camembert,10,1108.5224383925013,1108.5224383925013,0.0
item:blue_access_card,item:canned_food,10,838.3805895897979,838.3805895897979,0.0
item:blue_access_card,item:corrupted_vial,10,1044.0975580871575,1044.0975580871575,0.0
item:blue_access_card,item:energy_drink,9,429.5880452892291,429.5880452892291,0.0
item:blue_access_card,item:golden_sneakers,5,453.8921798029214,453.8921798029214,0.0
item:blue_access_card,item:midas_hand,10,552.0915384369707,552.0915384369707,0.0
item:blue_access_card,item:red_access_card,4,641.7927240032232,641.7927240032232,0.0
item:blue_access_card,item:syringe,10,1211.949549754998,1211.9495497549983,0.0
item:blue_access_card,item:three_leaf_clover,8,764.7736067094899,764.7736067094899,0.0
item:blue_access_card,perk:armor,13,905.897636555897,905.897636555897,0.0
item:blue_access_card,perk:attack_speed,18,795.7545370924175,795.7545370924174,0.0
item:blue_access_card,perk:collect_radius,15,829.5524309645969,829.5524309645969,0.0
item:blue_access_card,perk:crit_chance,10,942.0338751711417,942.0338751711417,0.0
item:blue_access_card,perk:crit_multiplier,16,870.7194266077026,870.7194266077028,0.0
item:blue_access_card,perk:damage_percent,19,783.9114187471741,783.9114187471741,0.0
item:blue_access_card,perk:effect_duration,10,790.4712114723017,790.4712114723017,0.0
item:blue_access_card,perk:elite_flat_damage,21,739.3581735851801,739.35817358518,0.0
item:blue_access_card,perk:enemy_bounce,18,875.0027860081892,875.0027860081892,0.0
item:blue_access_card,perk:flat_damage,17,822.3861784004164,822.3861784004164,0.0
item:blue_access_card,perk:gold_gain,7,190.15342628609238,190.15342628609238,0.0
item:blue_access_card,perk:health_regen,15,632.5002137585268,632.5002137585268,0.0
item:blue_access_card,perk:jump_bonus,10,321.53577470813775,321.53577470813775,0.0
item:blue_access_card,perk:life_steal,9,454.65292824839105,454.65292824839105,0.0
item:blue_access_card,perk:luck,12,407.9456873651193,407.9456873651193,0.0
item:blue_access_card,perk:more_enemies,9,591.0010505174627,591.0010505174627,0.0
item:blue_access_card,perk:move_speed,11,378.6478659002185,378.6478659002185,0.0
item:blue_access_card,perk:projectile_count,19,838.3580592054076,838.3580592054076,0.0
item:blue_access_card,perk:projectile_speed,11,713.7299578533929,713.7299578533929,0.0
item:blue_access_card,perk:shield,20,602.6573179676017,602.6573179676017,0.0
item:blue_access_card,perk:xp_gain,12,955.8891741212741,955.8891741212741,0.0
item:camembert,item:canned_food,28,831.3238295156007,831.3238295156007,0.0
item:camembert,item:corrupted_vial,22,951.6200810498871,951.6200810498871,0.0
item:camembert,item:energy_drink,17,514.2085736614697,514.2085736614697,0.0
item:camembert,item:golden_sneakers,21,559.411708122071,559.411708122071,0.0
item:camembert,item:midas_hand,20,671.0447341089924,671.0447341089924,0.0
item:camembert,item:red_access_card,9,933.1300224178083,933.1300224178083,0.0
item:camembert,item:sneakers,21,546.464523472534,546.4645234725339,0.0
item:camembert,item:syringe,24,845.2974337341917,845.2974337341919,0.0
item:camembert,item:three_leaf_clover,24,591.8035323665579,591.8035323665579,0.0
item:camembert,item:vampire_tooth,10,746.5104110652347,746.5104110652347,0.0
item:camembert,perk:armor,35,991.1068947582976,991.1068947582977,0.0
item:camembert,perk:attack_speed,35,1151.7341600484704,1151.7341600484704,0.0
item:camembert,perk:collect_radius,32,789.6421498748764,789.6421498748764,0.0
item:camembert,perk:crit_chance,29,854.1905473878238,854.1905473878238,0.0
item:camembert,perk:crit_multiplier,36,1086.5751256134195,1086.5751256134195,0.0
item:camembert,perk:damage_percent,42,1011.4428952133317,1011.4428952133317,0.0
item:camembert,perk:effect_duration,26,521.3626633593537,521.3626633593537,0.0
item:camembert,perk:elite_flat_damage,42,1108.4656682106877,1108.4656682106877,0.0
item:camembert,perk:enemy_bounce,43,1219.8766905074503,1219.8766905074503,0.0
item:camembert,perk:flat_damage,44,1172.2162252846697,1172.2162252846697,0.0
item:camembert,perk:gold_gain,24,521.5587602814401,521.5587602814401,0.0
item:camembert,perk:health_regen,39,879.5700594583514,879.5700594583515,0.0
item:camembert,perk:jump_bonus,16,290.0051779062547,290.00517790625463,0.0
item:camembert,perk:life_steal,17,454.46774168659465,454.4677416865946,0.0
item:camembert,perk:luck,31,480.4803913500779,480.4803913500779,0.0
item:camembert,perk:more_enemies,24,396.36831962844644,396.36831962844644,0.0
item:camembert,perk:move_speed,22,533.5474640237354,533.5474640237354,0.0
